,version,modelYear,km,price,phoneNumber,pro,argus,cheaperThanArgus,latitude,longitude
87,0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,3000,15300,,0,14200,0,48.992181,1.735384
88,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,21780,17480,0139754280,1,17700,1,48.918524,1.96978
89,1.5 DCI 90 ENERGY ARIZONA ECO2,2014.0,7000,16970,0184141900,1,17100,1,48.911358,2.8281139
90,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,1000,17240,0184141900,1,15500,0,48.911358,2.8281139
91,1.5 DCI 90 INTENS EDC,2014.0,5000,18800,,0,17500,0,48.524552,2.388169
92,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,8949,17490,0174037256,1,16000,0,48.8396952,2.2399123
93,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,3631,17990,0174037256,1,16000,0,48.8396952,2.2399123
94,1.5 DCI 90 INTENS EDC,2014.0,10,20202,0175834788,1,17500,0,48.760344,2.387405
95,1.2 TCE 120 ZEN EDC,2014.0,9000,18500,,0,16000,0,49.0331671,2.0547222
96,1.2 TCE 120 ARIZONA EDC,2014.0,4500,17600,,0,17200,0,48.814745,1.863168
97,1.5 DCI 90 INTENS EDC,2014.0,5,19890,0130516539,1,17500,0,48.7623589,1.945326
98,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,9500,17880,0667277157,1,16000,0,48.90852,2.504403
99,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,1519,17900,0160059293,1,15500,0,48.85478,2.628701
100,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,2874,18990,0178769520,1,16000,0,48.9472096,2.2466847
101,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,1,18900,0160059293,1,16000,0,48.85478,2.628701
102,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16728,15990,0144740871,1,16100,1,48.8293647,2.4265406
103,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,6234,15980,0615872883,1,15500,0,48.542105,2.6554
104,1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,3365,17900,0146348425,1,16000,0,48.8488576,2.3354223
105,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,11963,16900,0139192136,1,16000,0,49.000275,2.09178
106,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,5396,18390,0174037256,1,17700,0,48.8396952,2.2399123
107,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,2,19380,0139145454,1,17700,0,48.941106,2.158431
108,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,16436,16490,0144740871,1,16100,0,48.8293647,2.4265406
109,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,624,18490,0160625056,1,17700,0,48.6912267,2.6103697
110,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,7987,17990,0178455073,1,16000,0,48.8718722,2.3176432
111,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,60,19990,0130502424,1,17700,0,48.750285,1.916261
112,1.5 DCI 90 INTENS EDC,2014.0,10300,18990,,1,17500,0,48.9412151,2.4970711
113,1.5 DCI 90 ARIZONA EDC ECO2,2014.0,3900,19290,,0,18300,0,48.8640493,2.3310526
114,1.2 TCE 120 ZEN EDC,2014.0,3690,18290,0146128847,1,16000,0,48.816363,2.317384
115,1.5 DCI 90 ENERGY S&S LIFE ECO2,2014.0,9500,19190,,1,14600,0,48.992181,1.735384
116,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,17280,15880,0139145454,1,16100,1,48.941106,2.158431
117,1.5 DCI 90 INTENS EDC,2014.0,1,20900,0160059293,1,17500,0,48.85478,2.628701
118,1.2 TCE 120 INTENS EDC,2014.0,3500,18900,0143828979,0,17800,0,48.7305769,2.447488
119,1.5 DCI 90 BUSINESS EDC,2013.0,15898,16990,0174730257,1,17600,1,48.894533,2.40963
120,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,19700,16990,0624782138,1,16000,0,49.050966,2.100645
121,0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,10,16890,0160625056,1,14200,0,48.6912267,2.6103697
122,1.5 DCI 90 INTENS EDC,2014.0,1300,18400,,0,17500,0,48.566131,2.17112
123,1.5 DCI 90 ZEN EDC,2014.0,7,18990,0141734040,1,16200,0,48.760344,2.387405
124,1.5 DCI 90 INTENS EDC,2014.0,10,19640,0184141900,1,17500,0,48.911358,2.8281139
125,1.5 DCI 90 BUSINESS EDC,2013.0,13799,14500,0169936710,1,17600,1,48.730756,2.27137
126,1.5 DCI 90 ENERGY ARIZONA ECO2,2014.0,10,19640,0184141900,1,17100,0,48.911358,2.8281139
127,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,9367,18290,0146128847,1,17700,0,48.816363,2.317384
128,1.2 TCE 120 INTENS EDC,2014.0,3500,18500,,0,17800,0,48.865263,1.794903
129,1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,25295,14980,0811708090,1,16000,1,48.790367,2.455572
130,1.5 DCI 90 INTENS EDC,2014.0,2,19870,0139145454,1,17500,0,48.941106,2.158431
131,0.9 TCE 90 ENERGY S&S LIFE ECO2,2013.0,14958,14900,0160059293,1,12700,0,48.85478,2.628701
132,1.5 DCI 90 INTENS EDC,2014.0,50,20490,0174076006,1,17500,0,48.857993,2.381153
133,1.5 DCI 90 INTENS EDC,2014.0,10,19770,0184141900,1,17500,0,48.911358,2.8281139
134,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,2410,19490,0160926972,1,17700,0,48.6792779,2.16647
135,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,7,17550,0175448164,1,15500,0,48.757205,2.326243
136,1.5 DCI 90 INTENS EDC,2014.0,10,19770,0184141900,1,17500,0,48.911358,2.8281139
137,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,19990,0628537072,1,17700,0,48.882174,2.076817
138,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,19990,0628537072,1,17700,0,48.882174,2.076817
139,1.5 DCI 90 BUSINESS EDC,2013.0,19420,15890,0142531111,1,17600,1,48.816363,2.317384
140,1.5 DCI 90 BUSINESS EDC,2014.0,13396,16690,0142531111,1,17600,1,48.816363,2.317384
141,1.5 DCI 90 INTENS EDC,2013.0,6400,18000,0130952909,0,17500,0,48.9591319,1.855891
142,1.5 DCI 90 INTENS EDC,2014.0,10,18490,0130516539,1,17500,0,48.7623589,1.945326
143,1.5 DCI 90 INTENS EDC,2013.0,8500,17500,,0,17500,0,48.978154,1.713371
144,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,16349,18290,0160926972,1,17700,0,48.6792779,2.16647
145,1.5 DCI 90 ENERGY S&S LIFE ECO2,2014.0,10,16990,0983484648,1,14600,0,48.799815,2.257289
146,1.5 DCI 90 BUSINESS EDC,2013.0,16289,16690,0174730257,1,17600,1,48.894533,2.40963
147,0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,6000,15500,,0,14200,0,48.817223,1.949075
148,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,19990,0667277157,1,17700,0,48.90852,2.504403
149,1.5 DCI 90 INTENS EDC,2014.0,7350,19690,0178455073,1,17500,0,48.8718722,2.3176432
